postcode,zone,zone_name,color,delivery_days,depot
1081,1,Sone 1,#1D4ED8,,
1083,1,Sone 1,#1D4ED8,,
1084,1,Sone 1,#1D4ED8,,
1086,1,Sone 1,#1D4ED8,,
1087,1,Sone 1,#1D4ED8,,
1088,1,Sone 1,#1D4ED8,,
1089,1,Sone 1,#1D4ED8,,
1150,7,Sone 7,#22C55E,,
1151,7,Sone 7,#22C55E,,
1152,7,Sone 7,#22C55E,,
1153,7,Sone 7,#22C55E,,
1154,7,Sone 7,#22C55E,,
1155,7,Sone 7,#22C55E,,
1156,7,Sone 7,#22C55E,,
1157,7,Sone 7,#22C55E,,
1158,7,Sone 7,#22C55E,,
1160,7,Sone 7,#22C55E,,
1161,7,Sone 7,#22C55E,,
1162,7,Sone 7,#22C55E,,
1163,7,Sone 7,#22C55E,,
1164,7,Sone 7,#22C55E,,
1165,7,Sone 7,#22C55E,,
1166,7,Sone 7,#22C55E,,
1167,7,Sone 7,#22C55E,,
1168,7,Sone 7,#22C55E,,
1169,7,Sone 7,#22C55E,,
1170,7,Sone 7,#22C55E,,
1172,7,Sone 7,#22C55E,,
1176,7,Sone 7,#22C55E,,
1177,7,Sone 7,#22C55E,,
1178,7,Sone 7,#22C55E,,
1179,7,Sone 7,#22C55E,,
1181,7,Sone 7,#22C55E,,
1182,7,Sone 7,#22C55E,,
1184,7,Sone 7,#22C55E,,
1185,7,Sone 7,#22C55E,,
1187,7,Sone 7,#22C55E,,
1188,7,Sone 7,#22C55E,,
1189,7,Sone 7,#22C55E,,
1250,7,Sone 7,#22C55E,,
1251,7,Sone 7,#22C55E,,
1252,7,Sone 7,#22C55E,,
1253,7,Sone 7,#22C55E,,
1254,7,Sone 7,#22C55E,,
1255,7,Sone 7,#22C55E,,
1256,7,Sone 7,#22C55E,,
1257,7,Sone 7,#22C55E,,
1258,7,Sone 7,#22C55E,,
1259,7,Sone 7,#22C55E,,
1262,7,Sone 7,#22C55E,,
1263,7,Sone 7,#22C55E,,
1266,7,Sone 7,#22C55E,,
1270,7,Sone 7,#22C55E,,
1271,7,Sone 7,#22C55E,,
1272,7,Sone 7,#22C55E,,
1273,7,Sone 7,#22C55E,,
1274,7,Sone 7,#22C55E,,
1275,7,Sone 7,#22C55E,,
1278,7,Sone 7,#22C55E,,
1279,7,Sone 7,#22C55E,,
1281,7,Sone 7,#22C55E,,
1283,7,Sone 7,#22C55E,,
1284,7,Sone 7,#22C55E,,
1285,7,Sone 7,#22C55E,,
1286,7,Sone 7,#22C55E,,
1290,7,Sone 7,#22C55E,,
1291,7,Sone 7,#22C55E,,
1294,7,Sone 7,#22C55E,,
1295,7,Sone 7,#22C55E,,
1311,2,Sone 2,#2563EB,,
1336,2,Sone 2,#2563EB,,
1337,2,Sone 2,#2563EB,,
1338,2,Sone 2,#2563EB,,
1339,2,Sone 2,#2563EB,,
1340,2,Sone 2,#2563EB,,
1341,2,Sone 2,#2563EB,,
1344,2,Sone 2,#2563EB,,
1346,2,Sone 2,#2563EB,,
1348,2,Sone 2,#2563EB,,
1349,2,Sone 2,#2563EB,,
1350,2,Sone 2,#2563EB,,
1351,2,Sone 2,#2563EB,,
1352,2,Sone 2,#2563EB,,
1353,2,Sone 2,#2563EB,,
1354,2,Sone 2,#2563EB,,
1356,2,Sone 2,#2563EB,,
1357,2,Sone 2,#2563EB,,
1358,2,Sone 2,#2563EB,,
1359,2,Sone 2,#2563EB,,
1360,2,Sone 2,#2563EB,,
1361,2,Sone 2,#2563EB,,
1362,2,Sone 2,#2563EB,,
1363,2,Sone 2,#2563EB,,
1364,2,Sone 2,#2563EB,,
1365,2,Sone 2,#2563EB,,
1366,2,Sone 2,#2563EB,,
1367,2,Sone 2,#2563EB,,
1368,2,Sone 2,#2563EB,,
1369,2,Sone 2,#2563EB,,
1383,3,Sone 3,#0EA5E9,,
1384,3,Sone 3,#0EA5E9,,
1385,3,Sone 3,#0EA5E9,,
1386,3,Sone 3,#0EA5E9,,
1387,3,Sone 3,#0EA5E9,,
1388,3,Sone 3,#0EA5E9,,
1389,3,Sone 3,#0EA5E9,,
1390,3,Sone 3,#0EA5E9,,
1391,3,Sone 3,#0EA5E9,,
1392,3,Sone 3,#0EA5E9,,
1393,3,Sone 3,#0EA5E9,,
1394,3,Sone 3,#0EA5E9,,
1395,3,Sone 3,#0EA5E9,,
1396,3,Sone 3,#0EA5E9,,
1397,3,Sone 3,#0EA5E9,,
1400,8,Sone 8,#84CC16,,
